"cluster","species","phi","match_method","matched_reference_name","axis","eive_value","tichy_value_0_10","position_0_10","niche_width_0_10","eive_source_systems","source_layer","source_agreement_0_1","phi_weight","source_support_weight","niche_specificity_weight","final_weight"
"c_409","Melampyrum arvense",0.403645569639241,"exact_name","Melampyrum arvense","m",3.37520720120476,2.54545454545454,3.37520720120476,3.47908540522589,22,"EIVE_primary",0.917024734424978,0.463281012675317,1,0.739068594608058,0.342396446946544
"c_409","Noccaea perfoliata",0.346164563759337,"exact_name","Noccaea perfoliata","m",3.25380158664303,2.18181818181818,3.25380158664303,3.53309624640195,24,"EIVE_primary",0.892801659517515,0.411548107383404,1,0.735017781519854,0.302495176877644
"c_409","Stipa pulcherrima",0.619262657143243,"exact_name","Stipa pulcherrima","m",1.94416053623011,0.636363636363636,1.94416053623011,3.27306016383572,16,"EIVE_primary",0.869220310013353,0.657336391428919,1,0.754520487712321,0.495973774652005
"c_409","Veronica prostrata",0.923694218437201,"exact_name","Veronica prostrata","m",2.82964150398354,1.63636363636364,2.82964150398354,3.64589432232243,18,"EIVE_primary",0.88067221323801,0.931324796593481,1,0.726557925825818,0.676661412483111
"c_409","Melampyrum arvense",0.403645569639241,"exact_name","Melampyrum arvense","n",3.95185202962424,3.125,3.95185202962424,5.84884413893384,18,"EIVE_primary",0.917314797037576,0.463281012675317,1,0.561336689579962,0.260056630000415
"c_409","Noccaea perfoliata",0.346164563759337,"exact_name","Noccaea perfoliata","n",3.1097650346388,2.25,3.1097650346388,5.17268736403875,20,"EIVE_primary",0.91402349653612,0.411548107383404,1,0.612048447697094,0.251887380276689
"c_409","Stipa pulcherrima",0.619262657143243,"exact_name","Stipa pulcherrima","n",2.9184447271658,0.375,2.9184447271658,7.10443379158824,12,"EIVE_primary",0.74565552728342,0.657336391428919,1,0.467167465630882,0.307086176050798
"c_409","Veronica prostrata",0.923694218437201,"exact_name","Veronica prostrata","n",3.6920507210029,0.875,3.6920507210029,8.28784079243955,14,"EIVE_primary",0.71829492789971,0.931324796593481,1,0.378411940567034,0.352424423577137
"c_409","Melampyrum arvense",0.403645569639241,"exact_name","Melampyrum arvense","r",7.7682844516504,8.75,7.7682844516504,3.72249762771521,20,"EIVE_primary",0.90182844516504,0.463281012675317,1,0.720812677921359,0.333938827376614
"c_409","Noccaea perfoliata",0.346164563759337,"exact_name","Noccaea perfoliata","r",7.710579113221,8.125,7.710579113221,4.10476242193355,22,"EIVE_primary",0.9585579113221,0.411548107383404,1,0.692142818354984,0.284850066933009
"c_409","Stipa pulcherrima",0.619262657143243,"exact_name","Stipa pulcherrima","r",8.14855157702159,8.375,8.14855157702159,3.51493738987979,14,"EIVE_primary",0.977355157702159,0.657336391428919,1,0.736379695759016,0.484049171931757
"c_409","Veronica prostrata",0.923694218437201,"exact_name","Veronica prostrata","r",6.93628760933739,8.5,6.93628760933739,6.54406788058198,16,"EIVE_primary",0.843628760933739,0.931324796593481,1,0.509194908956352,0.47422584501021
"c_409","Melampyrum arvense",0.403645569639241,"exact_name","Melampyrum arvense","l",7.08438330329322,7.625,7.08438330329322,4.74773857503555,17,"EIVE_primary",0.945938330329322,0.463281012675317,1,0.643919606872334,0.298315727553307
"c_409","Noccaea perfoliata",0.346164563759337,"exact_name","Noccaea perfoliata","l",7.79635878582694,8.875,7.79635878582694,4.18512158168976,19,"EIVE_primary",0.892135878582694,0.411548107383404,1,0.686115881373268,0.282369692424864
"c_409","Stipa pulcherrima",0.619262657143243,"exact_name","Stipa pulcherrima","l",8.73811232281848,9.5,8.73811232281848,4.05310684651018,11,"EIVE_primary",0.923811232281848,0.657336391428919,1,0.696016986511736,0.457517294286855
"c_409","Veronica prostrata",0.923694218437201,"exact_name","Veronica prostrata","l",8.1121892223526,9,8.1121892223526,4.2465235940325,13,"EIVE_primary",0.91121892223526,0.931324796593481,1,0.681510730447562,0.634707842410351
"c_409","Melampyrum arvense",0.403645569639241,"exact_name","Melampyrum arvense","t",4.85871804759601,4.90909090909091,4.85871804759601,3.46449159713765,19,"EIVE_primary",0.99496271385051,0.463281012675317,1,0.740163130214676,0.342903524510787
"c_409","Noccaea perfoliata",0.346164563759337,"exact_name","Noccaea perfoliata","t",4.8079269185162,4.63636363636364,4.8079269185162,3.78530828474128,21,"EIVE_primary",0.982843671784744,0.411548107383404,1,0.716101878644404,0.294710372849804
"c_409","Stipa pulcherrima",0.619262657143243,"exact_name","Stipa pulcherrima","t",5.71852545349965,5.27272727272727,5.71852545349965,3.17642120333075,14,"EIVE_primary",0.955420181922762,0.657336391428919,1,0.761768409750194,0.500738097569739
"c_409","Veronica prostrata",0.923694218437201,"exact_name","Veronica prostrata","t",5.15759103830395,5,5.15759103830395,3.32318149110911,16,"EIVE_primary",0.984240896169605,0.931324796593481,1,0.750761388166817,0.6992026971247
"c_409","Melampyrum arvense",0.403645569639241,"exact_name","Melampyrum arvense","s",NA,0,0,NA,NA,"Tichy_gapfill",NA,0.463281012675317,0.6,0.55,0.152882734182855
"c_409","Noccaea perfoliata",0.346164563759337,"exact_name","Noccaea perfoliata","s",NA,0,0,NA,NA,"Tichy_gapfill",NA,0.411548107383404,0.6,0.55,0.135810875436523
"c_409","Stipa pulcherrima",0.619262657143243,"exact_name","Stipa pulcherrima","s",NA,0,0,NA,NA,"Tichy_gapfill",NA,0.657336391428919,0.6,0.55,0.216921009171543
"c_409","Veronica prostrata",0.923694218437201,"exact_name","Veronica prostrata","s",NA,0,0,NA,NA,"Tichy_gapfill",NA,0.931324796593481,0.6,0.55,0.307337182875849
